race_year_id,rank,runner,time,age,gender,nationality,time_in_seconds,event,race,city,country,date,start_time,participation,distance,elevation_gain,elevation_loss,aid_stations,participants,age_group
72496,59.0,TREMPS Claudia,27H 55M 36S,25,W,ESP,100536.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,20-29
39881,68.0,BOSIO Rory,27H 59M 45S,37,W,USA,100785.0,UTMB®,UTMB®,Chamonix,France,2019-08-30,1900-01-01 18:00:00,solo,170.7,9930,-9930,16,2300,30-39
17383,1.0,D HAENE Francois,19H 1M 54S,36,M,FRA,68514.0,UTMB®,UTMB®,Chamonix,France,2017-09-01,1900-01-01 18:00:00,solo,168.6,9980,-9980,16,2300,30-39
17383,2.0,JORNET BURGADA Kilian,19H 16M 59S,34,M,ESP,69419.0,UTMB®,UTMB®,Chamonix,France,2017-09-01,1900-01-01 18:00:00,solo,168.6,9980,-9980,16,2300,30-39
17383,3.0,TOLLEFSON Tim,19H 53M 0S,36,M,USA,71580.0,UTMB®,UTMB®,Chamonix,France,2017-09-01,1900-01-01 18:00:00,solo,168.6,9980,-9980,16,2300,30-39
17383,4.0,THEVENARD Xavier,20H 3M 39S,33,M,FRA,72219.0,UTMB®,UTMB®,Chamonix,France,2017-09-01,1900-01-01 18:00:00,solo,168.6,9980,-9980,16,2300,30-39
17383,5.0,WALMSLEY Jim,20H 11M 38S,31,M,USA,72698.0,UTMB®,UTMB®,Chamonix,France,2017-09-01,1900-01-01 18:00:00,solo,168.6,9980,-9980,16,2300,30-39
6558,1.0,D HAENE Francois,20H 11M 44S,36,M,FRA,72704.0,Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2014-08-29,1900-01-01 00:00:00,solo,167.7,9618,-9618,16,0,30-39
17383,6.0,CAPELL Pau,20H 12M 43S,30,M,ESP,72763.0,UTMB®,UTMB®,Chamonix,France,2017-09-01,1900-01-01 18:00:00,solo,168.6,9980,-9980,16,2300,20-29
39881,1.0,CAPELL Pau,20H 19M 7S,30,M,ESP,73147.0,UTMB®,UTMB®,Chamonix,France,2019-08-30,1900-01-01 18:00:00,solo,170.7,9930,-9930,16,2300,20-29
17383,7.0,BOWMAN Dylan,20H 19M 48S,35,M,USA,73188.0,UTMB®,UTMB®,Chamonix,France,2017-09-01,1900-01-01 18:00:00,solo,168.6,9980,-9980,16,2300,30-39
3940,1.0,THEVENARD Xavier,20H 34M 57S,33,M,FRA,74097.0,The North Face Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2013-08-30,1900-01-01,solo,167.7,9618,-9618,0,0,30-39
25073,1.0,THEVENARD Xavier,20H 44M 16S,33,M,FRA,74656.0,UTMB®,UTMB®,Chamonix,France,2018-08-31,1900-01-01 18:00:00,solo,170.0,9990,-9990,16,2300,30-39
72496,1.0,D HAENE Francois,20H 45M 59S,36,M,FRA,74759.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
3940,2.0,HERAS Miguel,20H 54M 8S,46,M,ESP,75248.0,The North Face Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2013-08-30,1900-01-01,solo,167.7,9618,-9618,0,0,40-49
6558,2.0,CASTANYER Tofol,20H 55M 42S,49,M,ESP,75342.0,Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2014-08-29,1900-01-01 00:00:00,solo,167.7,9618,-9618,16,0,40-49
6558,2.0,KARRERA Iker,20H 55M 42S,47,M,ESP,75342.0,Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2014-08-29,1900-01-01 00:00:00,solo,167.7,9618,-9618,16,0,40-49
72496,2.0,DUNAND PALLAZ Aurelien,20H 58M 31S,29,M,FRA,75511.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,20-29
39881,2.0,THEVENARD Xavier,21H 7M 56S,33,M,FRA,76076.0,UTMB®,UTMB®,Chamonix,France,2019-08-30,1900-01-01 18:00:00,solo,170.7,9930,-9930,16,2300,30-39
8592,1.0,THEVENARD Xavier,21H 9M 15S,33,M,FRA,76155.0,Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2015-08-28,1900-01-01 00:00:00,solo,169.6,10060,-10060,16,0,30-39
72496,3.0,BLANCHARD Mathieu,21H 12M 43S,34,M,FRA,76363.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,30-39
3940,3.0,DOMINGUEZ LEDO Javier,21H 17M 38S,47,M,ESP,76658.0,The North Face Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2013-08-30,1900-01-01,solo,167.7,9618,-9618,0,0,40-49
17383,8.0,GRINIUS Gediminas,21H 24M 19S,42,M,LTU,77059.0,UTMB®,UTMB®,Chamonix,France,2017-09-01,1900-01-01 18:00:00,solo,168.6,9980,-9980,16,2300,40-49
17383,9.0,MILLER Zach,21H 28M 32S,33,M,USA,77312.0,UTMB®,UTMB®,Chamonix,France,2017-09-01,1900-01-01 18:00:00,solo,168.6,9980,-9980,16,2300,30-39
25073,2.0,HAJNAL Robert,21H 31M 37S,32,M,ROU,77497.0,UTMB®,UTMB®,Chamonix,France,2018-08-31,1900-01-01 18:00:00,solo,170.0,9990,-9990,16,2300,30-39
3940,4.0,OLSON Tim,21H 38M 23S,38,M,USA,77903.0,The North Face Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2013-08-30,1900-01-01,solo,167.7,9618,-9618,0,0,30-39
72496,4.0,POMMERET Ludovic,21H 38M 44S,46,M,FRA,77924.0,UTMB®,UTMB®,Chamonix,France,2021-08-27,1900-01-01 17:00:00,Solo,170.7,9930,-9930,11,2300,40-49
6558,4.0,Schlarb Jason,21H 39M 44S,43,M,USA,77984.0,Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,2014-08-29,1900-01-01 00:00:00,solo,167.7,9618,-9618,16,0,40-49
17383,10.0,GAMITO Jordi,21H 44M 31S,40,M,ESP,78271.0,UTMB®,UTMB®,Chamonix,France,2017-09-01,1900-01-01 18:00:00,solo,168.6,9980,-9980,16,2300,30-39
